"CustomerID","Recency","Frequency","Monetary","Cluster","PredictedCluster","Segment"
12346,326,1,77183.6,3,2,"Best Customers"
12347,3,7,4310,1,1,"Loyal Customers"
12348,76,4,1797.24,1,1,"Loyal Customers"
12349,19,1,1757.55,1,1,"Loyal Customers"
12350,311,1,334.4,2,2,"At Risk Customers"
12352,37,8,2506.04,1,1,"Loyal Customers"
12353,205,1,89,2,2,"At Risk Customers"
12354,233,1,1079.4,2,2,"At Risk Customers"
12355,215,1,459.4,2,2,"At Risk Customers"
12356,23,3,2811.43,1,1,"Loyal Customers"
12357,34,1,6207.67,1,1,"Loyal Customers"
12358,2,2,1168.06,1,1,"Loyal Customers"
12359,58,4,6372.58,1,1,"Loyal Customers"
12360,53,3,2662.06,1,1,"Loyal Customers"
12361,288,1,189.9,2,2,"At Risk Customers"
12362,4,10,5226.23,1,1,"Loyal Customers"
12363,110,2,552,1,1,"Loyal Customers"
12364,8,4,1313.1,1,1,"Loyal Customers"
12365,292,2,641.38,2,2,"At Risk Customers"
12367,5,1,168.9,1,1,"Loyal Customers"
12370,52,4,3545.69,1,1,"Loyal Customers"
12371,45,2,1887.96,1,1,"Loyal Customers"
12372,72,3,1298.04,1,1,"Loyal Customers"
12373,312,1,364.6,2,2,"At Risk Customers"
12374,26,1,742.93,1,1,"Loyal Customers"
12375,11,2,457.5,1,1,"Loyal Customers"
12377,316,2,1628.12,2,2,"At Risk Customers"
12378,130,1,4008.62,1,1,"Loyal Customers"
12379,82,2,852.24,1,1,"Loyal Customers"
12380,22,4,2724.81,1,1,"Loyal Customers"
12381,5,5,1845.31,1,1,"Loyal Customers"
12383,185,5,1850.56,2,2,"At Risk Customers"
12384,29,2,585.27,1,1,"Loyal Customers"
12386,338,2,401.9,2,2,"At Risk Customers"
12388,16,6,2780.66,1,1,"Loyal Customers"
12390,80,1,549.84,1,1,"Loyal Customers"
12391,22,1,460.89,1,1,"Loyal Customers"
12393,73,4,1582.6,1,1,"Loyal Customers"
12394,64,2,1272.48,1,1,"Loyal Customers"
12395,20,12,3018.63,1,1,"Loyal Customers"
12397,36,2,2409.9,1,1,"Loyal Customers"
12398,46,1,1635.66,1,1,"Loyal Customers"
12399,120,4,1108.65,1,1,"Loyal Customers"
12401,304,1,84.3,2,2,"At Risk Customers"
12402,324,1,225.6,2,2,"At Risk Customers"
12403,50,1,427.7,1,1,"Loyal Customers"
12405,149,1,1710.39,2,2,"At Risk Customers"
12406,23,2,3415.3,1,1,"Loyal Customers"
12407,50,5,1708.12,1,1,"Loyal Customers"
12408,33,5,2888.55,1,1,"Loyal Customers"
12409,79,3,11072.67,1,1,"Loyal Customers"
12410,309,2,693.33,2,2,"At Risk Customers"
12412,75,3,1226.88,1,1,"Loyal Customers"
12413,67,3,758.1,1,1,"Loyal Customers"
12414,218,3,562.41,2,2,"At Risk Customers"
12415,25,21,124914.53,4,3,"Super VIP Customers"
12417,4,9,3649.1,1,1,"Loyal Customers"
12418,113,1,668.58,1,1,"Loyal Customers"
12420,64,1,600.39,1,1,"Loyal Customers"
12421,16,4,807.04,1,1,"Loyal Customers"
12422,96,3,803.56,1,1,"Loyal Customers"
12423,1,8,1859.31,1,1,"Loyal Customers"
12424,163,2,1760.96,2,2,"At Risk Customers"
12425,79,1,777.2,1,1,"Loyal Customers"
12426,195,1,582.73,2,2,"At Risk Customers"
12427,22,3,825.8,1,1,"Loyal Customers"
12428,26,9,7956.46,1,1,"Loyal Customers"
12429,10,4,3750.4,1,1,"Loyal Customers"
12430,44,1,256.4,1,1,"Loyal Customers"
12431,36,15,6487.45,3,3,"Best Customers"
12432,43,5,5059.32,1,1,"Loyal Customers"
12433,1,7,13375.87,1,1,"Loyal Customers"
12434,85,2,806.14,1,1,"Loyal Customers"
12435,80,2,7829.89,1,1,"Loyal Customers"
12436,100,1,509.01,1,1,"Loyal Customers"
12437,2,18,4951.41,3,3,"Best Customers"
12438,15,2,2906.85,1,1,"Loyal Customers"
12441,367,1,173.55,2,2,"At Risk Customers"
12442,4,1,172.06,1,1,"Loyal Customers"
12444,22,5,5005.46,1,1,"Loyal Customers"
12445,23,1,133.4,1,1,"Loyal Customers"
12446,58,1,1002.31,1,1,"Loyal Customers"
12447,244,1,476.49,2,2,"At Risk Customers"
12448,45,1,449.45,1,1,"Loyal Customers"
12449,23,4,4067.29,1,1,"Loyal Customers"
12450,157,2,197.88,2,2,"At Risk Customers"
12451,11,5,9035.52,1,1,"Loyal Customers"
12452,17,2,430.57,1,1,"Loyal Customers"
12453,135,1,707.09,1,1,"Loyal Customers"
12454,57,1,3528.34,1,1,"Loyal Customers"
12455,74,6,2466.86,1,1,"Loyal Customers"
12456,45,3,3181.04,1,1,"Loyal Customers"
12457,67,7,2363.23,1,1,"Loyal Customers"
12458,72,2,947.4,1,1,"Loyal Customers"
12461,95,2,826.88,1,1,"Loyal Customers"
12462,19,2,1189.59,1,1,"Loyal Customers"
12463,54,4,1344.78,1,1,"Loyal Customers"
12464,11,8,1212.05,1,1,"Loyal Customers"
12465,18,2,742.19,1,1,"Loyal Customers"
12468,188,2,729.54,2,2,"At Risk Customers"
12471,3,30,19824.0499999999,3,3,"Best Customers"
12472,33,7,6572.11,1,1,"Loyal Customers"
12473,30,5,3938.55,1,1,"Loyal Customers"
12474,18,18,7375.79,3,3,"Best Customers"
12475,54,1,723.38,1,1,"Loyal Customers"
12476,16,11,6816.42,1,1,"Loyal Customers"
12477,23,6,13219.74,1,1,"Loyal Customers"
12478,4,1,680.99,1,1,"Loyal Customers"
12479,12,1,527.2,1,1,"Loyal Customers"
12480,29,4,3281.63,1,1,"Loyal Customers"
12481,23,10,5596.32,1,1,"Loyal Customers"
12483,18,8,2484.98,1,1,"Loyal Customers"
12484,33,6,4541.72,1,1,"Loyal Customers"
12488,10,3,1298.66,1,1,"Loyal Customers"
12489,337,1,334.93,2,2,"At Risk Customers"
12490,6,10,5417.93,1,1,"Loyal Customers"
12491,39,1,460.4,1,1,"Loyal Customers"
12492,64,2,263.21,1,1,"Loyal Customers"
12493,166,2,433.74,2,2,"At Risk Customers"
12494,16,7,1246.1,1,1,"Loyal Customers"
12497,82,1,1043.1,1,1,"Loyal Customers"
12498,22,3,403.7,1,1,"Loyal Customers"
12500,24,11,4257.82,1,1,"Loyal Customers"
12501,337,1,2169.39,2,2,"At Risk Customers"
12502,96,5,3723.87,1,1,"Loyal Customers"
12504,19,2,482.05,1,1,"Loyal Customers"
12506,233,1,73.5,2,2,"At Risk Customers"
12507,135,3,1304.81,1,1,"Loyal Customers"
12508,27,2,398.27,1,1,"Loyal Customers"
12509,285,1,176.5,2,2,"At Risk Customers"
12510,143,2,982.57,1,1,"Loyal Customers"
12512,67,2,138.03,1,1,"Loyal Customers"
12513,113,1,612.29,1,1,"Loyal Customers"
12514,268,1,1017.68,2,2,"At Risk Customers"
12515,354,1,383.7,2,2,"At Risk Customers"
12516,78,2,1312.06,1,1,"Loyal Customers"
12517,29,5,2502.84,1,1,"Loyal Customers"
12518,1,5,2056.89,1,1,"Loyal Customers"
12519,64,1,340.84,1,1,"Loyal Customers"
12520,80,5,2634.26,1,1,"Loyal Customers"
12521,143,1,599.68,1,1,"Loyal Customers"
12522,40,2,192.72,1,1,"Loyal Customers"
12523,20,11,1789.77,1,1,"Loyal Customers"
12524,10,8,4485.72,1,1,"Loyal Customers"
12526,1,3,1316.66,1,1,"Loyal Customers"
12527,82,3,348.71,1,1,"Loyal Customers"
12528,10,6,1933.48,1,1,"Loyal Customers"
12530,60,4,1662.28,1,1,"Loyal Customers"
12531,15,1,125.22,1,1,"Loyal Customers"
12532,31,1,349.83,1,1,"Loyal Customers"
12534,131,1,1089.18,1,1,"Loyal Customers"
12535,92,2,716.35,1,1,"Loyal Customers"
12536,44,3,12601.83,1,1,"Loyal Customers"
12538,30,1,363.95,1,1,"Loyal Customers"
12539,23,4,5568.35,1,1,"Loyal Customers"
12540,20,17,13400.24,3,3,"Best Customers"
12541,30,3,981.18,1,1,"Loyal Customers"
12544,37,1,372.7,1,1,"Loyal Customers"
12545,76,2,1000.39,1,1,"Loyal Customers"
12546,47,2,1161.5,1,1,"Loyal Customers"
12547,198,2,207.8,2,2,"At Risk Customers"
12548,167,1,95.2,2,2,"At Risk Customers"
12550,80,1,964.829999999999,1,1,"Loyal Customers"
12551,358,1,168,2,2,"At Risk Customers"
12552,39,2,437.82,1,1,"Loyal Customers"
12553,9,10,3692.28,1,1,"Loyal Customers"
12556,51,2,603.71,1,1,"Loyal Customers"
12557,17,5,11990.96,1,1,"Loyal Customers"
12558,8,1,269.96,1,1,"Loyal Customers"
12559,311,2,561.71,2,2,"At Risk Customers"
12560,6,3,2134.01,1,1,"Loyal Customers"
12561,303,1,238.85,2,2,"At Risk Customers"
12562,9,7,3781.74,1,1,"Loyal Customers"
12564,262,1,456.9,2,2,"At Risk Customers"
12565,289,1,145.92,2,2,"At Risk Customers"
12566,87,1,351.65,1,1,"Loyal Customers"
12567,23,10,9401.27999999999,1,1,"Loyal Customers"
12569,3,32,4124.69,3,3,"Best Customers"
12571,40,2,519.61,1,1,"Loyal Customers"
12572,9,2,1020.42,1,1,"Loyal Customers"
12573,228,1,160.54,2,2,"At Risk Customers"
12574,316,1,218.45,2,2,"At Risk Customers"
12576,36,5,1315.83,1,1,"Loyal Customers"
12577,36,3,657.8,1,1,"Loyal Customers"
12578,22,2,2794.51,1,1,"Loyal Customers"
12579,79,1,440.42,1,1,"Loyal Customers"
12580,247,1,415.7,2,2,"At Risk Customers"
12581,40,1,197.71,1,1,"Loyal Customers"
12582,239,2,511.36,2,2,"At Risk Customers"
12583,3,15,7281.37999999999,3,3,"Best Customers"
12584,4,9,2338.15,1,1,"Loyal Customers"
12585,235,2,2040.1,2,2,"At Risk Customers"
12586,18,1,196.94,1,1,"Loyal Customers"
12587,8,1,144,1,1,"Loyal Customers"
12588,40,1,214.9,1,1,"Loyal Customers"
12589,29,2,646.68,1,1,"Loyal Customers"
12590,212,2,9864.26,2,2,"At Risk Customers"
